observation_date,PCEPI
1985-01-01,49.326
1985-02-01,49.555
1985-03-01,49.749
1985-04-01,49.821
1985-05-01,49.939
1985-06-01,50.075
1985-07-01,50.198
1985-08-01,50.364
1985-09-01,50.449
1985-10-01,50.533
1985-11-01,50.680
1985-12-01,50.850
1986-01-01,51.084
1986-02-01,51.084
1986-03-01,50.972
1986-04-01,50.868
1986-05-01,50.961
1986-06-01,51.151
1986-07-01,51.164
1986-08-01,51.228
1986-09-01,51.396
1986-10-01,51.488
1986-11-01,51.580
1986-12-01,51.651
1987-01-01,51.894
1987-02-01,52.076
1987-03-01,52.214
1987-04-01,52.409
1987-05-01,52.542
1987-06-01,52.741
1987-07-01,52.863
1987-08-01,53.072
1987-09-01,53.251
1987-10-01,53.420
1987-11-01,53.521
1987-12-01,53.620
1988-01-01,53.828
1988-02-01,53.908
1988-03-01,54.093
1988-04-01,54.356
1988-05-01,54.514
1988-06-01,54.746
1988-07-01,55.012
1988-08-01,55.175
1988-09-01,55.444
1988-10-01,55.625
1988-11-01,55.754
1988-12-01,55.928
1989-01-01,56.215
1989-02-01,56.402
1989-03-01,56.612
1989-04-01,56.989
1989-05-01,57.197
1989-06-01,57.322
1989-07-01,57.459
1989-08-01,57.466
1989-09-01,57.594
1989-10-01,57.819
1989-11-01,57.945
1989-12-01,58.113
1990-01-01,58.553
1990-02-01,58.811
1990-03-01,59.033
1990-04-01,59.157
1990-05-01,59.290
1990-06-01,59.552
1990-07-01,59.699
1990-08-01,60.096
1990-09-01,60.465
1990-10-01,60.811
1990-11-01,60.888
1990-12-01,60.945
1991-01-01,61.177
1991-02-01,61.208
1991-03-01,61.221
1991-04-01,61.332
1991-05-01,61.586
1991-06-01,61.690
1991-07-01,61.787
1991-08-01,61.931
1991-09-01,62.144
1991-10-01,62.260
1991-11-01,62.397
1991-12-01,62.553
1992-01-01,62.638
1992-02-01,62.797
1992-03-01,62.949
1992-04-01,63.119
1992-05-01,63.203
1992-06-01,63.315
1992-07-01,63.524
1992-08-01,63.609
1992-09-01,63.713
1992-10-01,63.938
1992-11-01,64.064
1992-12-01,64.176
1993-01-01,64.332
1993-02-01,64.429
1993-03-01,64.561
1993-04-01,64.733
1993-05-01,64.933
1993-06-01,64.955
1993-07-01,65.059
1993-08-01,65.170
1993-09-01,65.238
1993-10-01,65.443
1993-11-01,65.567
1993-12-01,65.582
1994-01-01,65.604
1994-02-01,65.756
1994-03-01,65.937
1994-04-01,66.015
1994-05-01,66.111
1994-06-01,66.272
1994-07-01,66.481
1994-08-01,66.634
1994-09-01,66.708
1994-10-01,66.821
1994-11-01,66.948
1994-12-01,66.991
1995-01-01,67.127
1995-02-01,67.246
1995-03-01,67.370
1995-04-01,67.547
1995-05-01,67.651
1995-06-01,67.717
1995-07-01,67.802
1995-08-01,67.948
1995-09-01,67.995
1995-10-01,68.171
1995-11-01,68.169
1995-12-01,68.300
1996-01-01,68.452
1996-02-01,68.560
1996-03-01,68.767
1996-04-01,68.973
1996-05-01,69.092
1996-06-01,69.091
1996-07-01,69.237
1996-08-01,69.303
1996-09-01,69.499
1996-10-01,69.709
1996-11-01,69.833
1996-12-01,69.914
1997-01-01,70.005
1997-02-01,70.151
1997-03-01,70.225
1997-04-01,70.294
1997-05-01,70.262
1997-06-01,70.352
1997-07-01,70.394
1997-08-01,70.450
1997-09-01,70.620
1997-10-01,70.712
1997-11-01,70.716
1997-12-01,70.701
1998-01-01,70.736
1998-02-01,70.699
1998-03-01,70.710
1998-04-01,70.798
1998-05-01,70.895
1998-06-01,70.835
1998-07-01,71.010
1998-08-01,71.108
1998-09-01,71.067
1998-10-01,71.223
1998-11-01,71.226
1998-12-01,71.298
1999-01-01,71.398
1999-02-01,71.358
1999-03-01,71.412
1999-04-01,71.757
1999-05-01,71.804
1999-06-01,71.826
1999-07-01,72.017
1999-08-01,72.148
1999-09-01,72.407
1999-10-01,72.529
1999-11-01,72.594
1999-12-01,72.763
2000-01-01,72.961
2000-02-01,73.191
2000-03-01,73.505
2000-04-01,73.444
2000-05-01,73.505
2000-06-01,73.754
2000-07-01,73.939
2000-08-01,73.934
2000-09-01,74.252
2000-10-01,74.353
2000-11-01,74.457
2000-12-01,74.571
2001-01-01,74.932
2001-02-01,75.048
2001-03-01,75.055
2001-04-01,75.187
2001-05-01,75.385
2001-06-01,75.518
2001-07-01,75.493
2001-08-01,75.484
2001-09-01,75.227
2001-10-01,75.492
2001-11-01,75.441
2001-12-01,75.363
2002-01-01,75.431
2002-02-01,75.558
2002-03-01,75.763
2002-04-01,76.080
2002-05-01,76.130
2002-06-01,76.225
2002-07-01,76.393
2002-08-01,76.543
2002-09-01,76.681
2002-10-01,76.821
2002-11-01,76.897
2002-12-01,76.971
2003-01-01,77.201
2003-02-01,77.526
2003-03-01,77.725
2003-04-01,77.593
2003-05-01,77.504
2003-06-01,77.588
2003-07-01,77.816
2003-08-01,78.079
2003-09-01,78.323
2003-10-01,78.333
2003-11-01,78.432
2003-12-01,78.605
2004-01-01,78.909
2004-02-01,79.077
2004-03-01,79.199
2004-04-01,79.346
2004-05-01,79.604
2004-06-01,79.831
2004-07-01,79.905
2004-08-01,79.946
2004-09-01,80.104
2004-10-01,80.448
2004-11-01,80.758
2004-12-01,80.801
2005-01-01,80.907
2005-02-01,81.132
2005-03-01,81.375
2005-04-01,81.603
2005-05-01,81.649
2005-06-01,81.700
2005-07-01,82.046
2005-08-01,82.377
2005-09-01,83.172
2005-10-01,83.305
2005-11-01,83.131
2005-12-01,83.131
2006-01-01,83.534
2006-02-01,83.584
2006-03-01,83.746
2006-04-01,84.135
2006-05-01,84.361
2006-06-01,84.569
2006-07-01,84.858
2006-08-01,85.125
2006-09-01,84.902
2006-10-01,84.702
2006-11-01,84.731
2006-12-01,85.032
2007-01-01,85.316
2007-02-01,85.581
2007-03-01,85.894
2007-04-01,86.096
2007-05-01,86.346
2007-06-01,86.529
2007-07-01,86.661
2007-08-01,86.720
2007-09-01,87.054
2007-10-01,87.318
2007-11-01,87.781
2007-12-01,87.984
2008-01-01,88.206
2008-02-01,88.382
2008-03-01,88.635
2008-04-01,88.799
2008-05-01,89.180
2008-06-01,89.827
2008-07-01,90.245
2008-08-01,90.172
2008-09-01,90.247
2008-10-01,89.651
2008-11-01,88.593
2008-12-01,88.098
2009-01-01,88.108
2009-02-01,88.266
2009-03-01,88.169
2009-04-01,88.295
2009-05-01,88.387
2009-06-01,88.912
2009-07-01,88.922
2009-08-01,89.180
2009-09-01,89.324
2009-10-01,89.663
2009-11-01,89.887
2009-12-01,89.939
2010-01-01,90.136
2010-02-01,90.134
2010-03-01,90.261
2010-04-01,90.310
2010-05-01,90.339
2010-06-01,90.301
2010-07-01,90.378
2010-08-01,90.502
2010-09-01,90.592
2010-10-01,90.881
2010-11-01,91.062
2010-12-01,91.268
2011-01-01,91.542
2011-02-01,91.797
2011-03-01,92.166
2011-04-01,92.557
